TIMESTAMP,SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,VALUE_IN_LACS
13-06-2005,BANKNIFTY,6728.66,6751.86,6583.27,6740.12,1421,5081.57
14-06-2005,BANKNIFTY,6751.02,6840.49,6725.12,6824,2020,7375.47
15-06-2005,BANKNIFTY,6833.04,6849.81,6807.03,6821.76,1217,4460.48
16-06-2005,BANKNIFTY,6777.12,6840.3,6696.97,6708.62,1505,5457.83
17-06-2005,BANKNIFTY,6716.54,6782.71,6669.76,6702.94,1104,3972.42
20-06-2005,BANKNIFTY,6737.98,6747.3,6570.23,6597.07,1084,3851.51
21-06-2005,BANKNIFTY,6598.18,6685.79,6590.73,6662.95,803,2868.53
22-06-2005,BANKNIFTY,6682.06,6725.67,6607.5,6617.1,818,2931.88
23-06-2005,BANKNIFTY,6635.46,6747.3,6609.37,6731.08,1230,4410.69
24-06-2005,BANKNIFTY,6784.57,6784.57,6635.46,6712.44,620,2233.93
27-06-2005,BANKNIFTY,6700.7,6739,6663.42,6682.25,487,1751.87
28-06-2005,BANKNIFTY,6755.68,6755.68,6627.91,6637.79,533,1910.62
29-06-2005,BANKNIFTY,6661.56,6691.01,6616.82,6680.1,526,1876.79
30-06-2005,BANKNIFTY,6728.66,6769.29,6717.57,6746.55,245,887.09
01-07-2005,BANKNIFTY,6801.81,6936.61,6760.57,6921.52,961,3533.13
04-07-2005,BANKNIFTY,6936.24,6987.42,6934.83,6982.55,697,2588.8
05-07-2005,BANKNIFTY,6993.04,7023.04,6919.93,6927.61,664,2471.66
06-07-2005,BANKNIFTY,6960.8,7064.1,6944.3,7041.13,598,2233.65
07-07-2005,BANKNIFTY,7049.29,7109.1,6929.3,6957.24,1078,4047.7
08-07-2005,BANKNIFTY,7006.17,7068.04,6972.8,7040.85,725,2717.13
11-07-2005,BANKNIFTY,7103.66,7178.65,7076,7164.59,1083,4124.13
12-07-2005,BANKNIFTY,7152.4,7278.02,7152.4,7258.8,1309,5037.77
